Outside,Outside,Outside,,,,,,,,,,,,,,,,,,,,,,
227,2,Unknown(Private Office),,Outside,226,,223,231,,,,,,,,,,,,,,,,
231,2,Unknown(Private Office),,Outside,226,,227,,,,,,,,,,,,,,,,,
226,2,Unknown(Open Area),,Outside,231,227,223,ST1,218,216,,,,,,,,,,,,,,
437,3,Unknown(Private Office),,Outside,424,,431,,,,,,,,,,,,,,,,,
431,3,Unknown(Private Office),,Outside,424,,437,429,,,,,,,,,,,,,,,,
429,3,Unknown(Private Office),,Outside,424,,431,ST2,,,,,,,,,,,,,,,,
ST2,3,Unknown(Elevator/Stair),,424,,429,423,,,,,,,,,,,,,,,,,
423,3,Unknown(Private Office),,Outside,414,,ST2,419,,,,,,,,,,,,,,,,
419,3,Unknown(Private Office),,Outside,413,,423,,,,,,,,,,,,,,,,,
424,3,Unknown(Open Area),,Outside,437,431,429,ST2,416,,,,,,,,,,,,,,,
416,3,Unknown(Private Office),,Outside,424,,414,,,,,,,,,,,,,,,,,
414,3,Unknown(Open Area),,424,423,423,,416,,,,,,,,,,,,,,,,
413,3,Unknown(Open Area),,Outside,414,408,419,407,,,,,,,,,,,,,,,,
408,3,Unknown(Private Office),,Outside,413,,414,404,,,,,,,,,,,,,,,,
404,3,Unknown(Private Office),,Outside,407,,408,402,,,,,,,,,,,,,,,,
402,3,Unknown(Private Office),,Outside,407,,404,333,,,,,,,,,,,,,,,,
407,3,Unknown(Open Area),,Outside,404,402,413,410,,,,,,,,,,,,,,,,
333,3,Unknown(Private Office),,401,,314,,,,,,,,,,,,,,,,,,
401,3,Unknown(Open Area),,Outside,333,320,318,444,,,,,,,,,,,,,,,,
320,3,Unknown(Private Office),,401,,318,311,,,,,,,,,,,,,,,,,
318,3,Unknown(Private Office),,314,,304,320,,,,,,,,,,,,,,,,,
314,3,Unknown(Open Area),,Outside,313,401,,311,318,304,,,,,,,,,,,,,,
304,3,Unknown(Private Office),,444,,318,314,311,,,,,,,,,,,,,,,,
311,3,Unknown(Private Office),,444,,304,320,,,,,,,,,,,,,,,,,
337,3,Unknown(Private Office),,Outside,444,,401,338,,,,,,,,,,,,,,,,
444,3,Unknown(Corridor),,304,311,337,301,303,307,311,338,,,,,,,,,,,,,
313,3,Unknown(Private Office),,Outside,314,,311,,,,,,,,,,,,,,,,,
311,3,Unknown(Private Office),,Outside,444,,314,313,307,,,,,,,,,,,,,,,
307,3,Unknown(Private Office),,Outside,444,,311,303,,,,,,,,,,,,,,,,
303,3,Unknown(Private Office),,Outside,444,,307,301,,,,,,,,,,,,,,,,
301,3,Unknown(Open Area),,Outside,444,202,204,,303,338,,,,,,,,,,,,,,
338,3,Unknown(Open Area),,Outside,444,004,,337,301,,,,,,,,,,,,,,,
